timestamp,value
2025-03-01T08:28:33Z,79.6
2025-03-01T08:29:33Z,80.7
2025-03-01T08:30:33Z,81.9
2025-03-01T08:31:33Z,82.6
2025-03-01T08:32:33Z,83.2
2025-03-01T08:33:33Z,83.7
2025-03-01T08:34:33Z,84.3
2025-03-01T08:35:33Z,85.4
2025-03-01T08:36:33Z,86.4
2025-03-01T08:37:33Z,85.9
2025-03-01T08:38:33Z,86.3
2025-03-01T08:39:33Z,86.7
2025-03-01T08:40:33Z,87.1
2025-03-01T08:41:33Z,87.9
2025-03-01T08:42:33Z,87.9
2025-03-01T08:43:33Z,88.7
2025-03-01T08:44:33Z,88.5
2025-03-01T08:45:33Z,88.2
2025-03-01T08:46:33Z,88.2
2025-03-01T08:47:33Z,86.4
2025-03-01T08:48:33Z,86.3
2025-03-01T08:49:33Z,86.8
2025-03-01T08:50:33Z,87.3
2025-03-01T08:51:33Z,87.4
2025-03-01T08:52:33Z,87.6
2025-03-01T08:53:33Z,87.9
2025-03-01T08:54:33Z,87.6
2025-03-01T08:55:33Z,87.8
2025-03-01T08:56:33Z,88.4
2025-03-01T08:57:33Z,88.2
2025-03-01T08:58:33Z,88.9
2025-03-01T08:59:33Z,88.5
2025-03-01T09:00:33Z,88.6
2025-03-01T09:01:33Z,50
2025-03-01T09:02:33Z,90
2025-03-01T09:03:33Z,91.8
2025-03-01T09:04:33Z,93.1
2025-03-01T09:05:33Z,93.2
2025-03-01T09:06:33Z,93.1
2025-03-01T09:07:33Z,50
2025-03-01T09:08:33Z,94.6
2025-03-01T09:09:33Z,94.7
2025-03-01T09:10:33Z,96.3
2025-03-01T09:11:33Z,97
2025-03-01T09:12:33Z,96.9
2025-03-01T09:13:33Z,97.2
2025-03-01T09:14:33Z,97.4
2025-03-01T09:15:33Z,97.7
2025-03-01T09:16:33Z,97.1
2025-03-01T09:17:33Z,97.3
2025-03-01T09:18:33Z,50
2025-03-01T09:19:33Z,96.9
2025-03-01T09:20:33Z,96.4
2025-03-01T09:21:33Z,50
2025-03-01T09:22:33Z,96.1
2025-03-01T09:23:33Z,96.6
2025-03-01T09:24:33Z,96.3
2025-03-01T09:25:33Z,96.4
2025-03-01T09:26:33Z,97.1
2025-03-01T09:27:33Z,97.7
2025-03-01T09:28:33Z,98.1
2025-03-01T09:29:33Z,98.1
2025-03-01T09:30:33Z,98.3
2025-03-01T09:31:33Z,98.5
2025-03-01T09:32:33Z,98.5
2025-03-01T09:33:33Z,98.7
2025-03-01T09:34:33Z,98.8
2025-03-01T09:35:33Z,98.6
2025-03-01T09:36:33Z,98.6
2025-03-01T09:37:33Z,97.2
2025-03-01T09:38:33Z,96.8
2025-03-01T09:39:33Z,96.4
2025-03-01T09:40:33Z,95.8
2025-03-01T09:41:33Z,95.3
2025-03-01T09:42:33Z,95.1
2025-03-01T09:43:33Z,94.7
2025-03-01T09:44:33Z,94.6
2025-03-01T09:45:33Z,94.6
2025-03-01T09:46:33Z,94.8
2025-03-01T09:47:33Z,94.9
2025-03-01T09:48:33Z,95
2025-03-01T09:49:33Z,95.1
2025-03-01T09:50:33Z,50
2025-03-01T09:51:33Z,96.2
2025-03-01T09:52:33Z,96.4
2025-03-01T09:53:33Z,96.5
2025-03-01T09:54:33Z,96.5
2025-03-01T09:55:33Z,50
2025-03-01T09:56:33Z,96.3
2025-03-01T09:57:33Z,96
2025-03-01T09:58:33Z,94.2
2025-03-01T09:59:33Z,92.4
2025-03-01T10:00:33Z,91.8
2025-03-01T10:01:33Z,91.1
2025-03-01T10:02:33Z,90.6
2025-03-01T10:03:33Z,90.6
2025-03-01T10:04:33Z,90.7
2025-03-01T10:05:33Z,90.4
2025-03-01T10:06:33Z,90.4
2025-03-01T10:07:33Z,90.3
2025-03-01T10:08:33Z,90.2
2025-03-01T10:09:33Z,90.2
2025-03-01T10:10:33Z,90.2
2025-03-01T10:11:33Z,89.9
2025-03-01T10:12:33Z,89.7
2025-03-01T10:13:33Z,89.9
2025-03-01T10:14:33Z,89.6
2025-03-01T10:15:33Z,89.8
2025-03-01T10:16:33Z,89.7
2025-03-01T10:17:33Z,89.9
2025-03-01T10:18:33Z,90.1
2025-03-01T10:19:33Z,89.8
2025-03-01T10:20:33Z,89.7
2025-03-01T10:21:33Z,90
2025-03-01T10:22:33Z,90
2025-03-01T10:23:33Z,90.1
2025-03-01T10:24:33Z,90
2025-03-01T10:25:33Z,90.2
2025-03-01T10:26:33Z,90.3
2025-03-01T10:27:33Z,90.2
2025-03-01T10:28:33Z,90.3
2025-03-01T10:29:33Z,90.5
2025-03-01T10:30:33Z,90.5
2025-03-01T10:31:33Z,90.6
2025-03-01T10:32:33Z,90.7
2025-03-01T10:33:33Z,50
2025-03-01T10:34:33Z,50
2025-03-01T10:35:33Z,93.7
