timestamp,rmssd,coverage,low_frequency,high_frequency
2025-03-07T05:20:00,87.265,0.793,6606.753,1655.872
2025-03-08T22:40:00,173,0.779,3386.531,6003.404
2025-03-08T22:45:00,181.141,0.99,2149.092,7020.235
2025-03-08T22:50:00,131.623,0.987,2334.891,4180.945
2025-03-08T22:55:00,147.64,0.996,2222.387,3524.459
2025-03-08T23:00:00,160.34,0.873,2029.619,4385.323
2025-03-08T23:05:00,111.496,1.003,1887.046,1986.533
2025-03-08T23:10:00,108.31,0.916,1218.578,1578.673
2025-03-08T23:15:00,124.356,0.956,4790.257,2150.359
2025-03-08T23:20:00,127.98,1.005,986.481,2779.611
2025-03-08T23:25:00,130.523,1.003,582.161,2682.417
2025-03-08T23:30:00,133.101,1.006,964.903,2485.476
2025-03-08T23:35:00,139.066,1.003,1566.979,3171.255
2025-03-08T23:40:00,135.305,1.002,566.528,2882.777
2025-03-08T23:45:00,134.02,0.994,698.434,2947.712
2025-03-08T23:50:00,138.94,1.003,795.712,3331.545
2025-03-08T23:55:00,135.567,0.972,506.005,3147.524
2025-03-09T00:00:00,111.875,1.001,2354.157,2649.162
2025-03-09T00:05:00,102.952,1.005,1482.5,2833.668
2025-03-09T00:10:00,113.037,0.982,2105.665,2536.308
2025-03-09T00:15:00,106.352,0.986,2101.18,2337.796
2025-03-09T00:20:00,124.579,0.981,4496.854,3268.029
2025-03-09T00:25:00,115.567,1.003,1560.784,2235.847
2025-03-09T00:30:00,108.36,0.931,1550.674,2066.493
2025-03-09T00:35:00,145.999,0.984,2965.894,3557.046
2025-03-09T00:40:00,150.916,0.972,2238.317,3555.787
2025-03-09T00:45:00,162.06,1.003,3652.22,3564.544
2025-03-09T00:50:00,135.927,1.003,3257.413,2877.709
2025-03-09T00:55:00,147.862,1.004,2984.004,3994.308
2025-03-09T01:00:00,138.85,1.003,4761.66,2884.519
2025-03-09T01:05:00,145.037,1.007,4114.834,3617.007
2025-03-09T01:10:00,140.339,0.889,4925.429,3414.923
2025-03-09T01:15:00,145.056,0.898,6555.236,2892.95
2025-03-09T01:25:00,144.466,0.954,4865.172,3057.562
2025-03-09T01:30:00,145.813,0.939,7471.332,4628.527
2025-03-09T01:35:00,171.921,0.979,5462.172,5005.588
2025-03-09T01:40:00,168.285,0.982,2336.635,4782.296
2025-03-09T01:45:00,149.808,1,2860.556,4007.14
2025-03-09T01:50:00,143.366,0.992,3481.273,3630.942
2025-03-09T01:55:00,162.18,1.005,1680.388,4458.29
2025-03-09T02:00:00,155.866,0.968,6508.022,3403.368
2025-03-09T02:05:00,157.143,1.005,3454.738,3760.422
2025-03-09T02:10:00,159.908,0.776,5428.853,3096.528
2025-03-09T02:20:00,134.918,0.715,15124.704,1525.466
2025-03-09T02:25:00,151.585,0.981,3259.879,4711.865
2025-03-09T02:30:00,161.831,0.922,6708.018,4408.571
2025-03-09T02:35:00,116.653,0.949,3620.388,2457.713
2025-03-09T02:40:00,123.082,0.937,7267.67,2666.989
2025-03-09T02:45:00,131.128,0.939,5275.063,2292.183
2025-03-09T02:50:00,156.963,0.966,5705.257,4487.208
2025-03-09T02:55:00,142.906,0.94,2645.472,2422.257
2025-03-09T03:00:00,169.292,1.006,1714.214,4791.396
2025-03-09T03:05:00,174.193,0.996,1715.71,5053.602
2025-03-09T03:10:00,180.836,1.003,2410.381,5495.401
2025-03-09T03:15:00,164.658,0.931,2978.812,4121.45
2025-03-09T03:20:00,179.666,1.005,10311.863,5133.543
2025-03-09T03:25:00,174.448,1.002,2735.329,4260.298
2025-03-09T03:30:00,172.989,1.004,1464.955,4871.065
2025-03-09T03:35:00,178.977,1.003,1987.957,4291.144
2025-03-09T03:40:00,187.249,1.002,2182.717,5613.586
2025-03-09T03:45:00,168.896,1.004,2799.49,5154.416
2025-03-09T03:50:00,115.538,0.917,11957.175,2540.641
2025-03-09T03:55:00,187.299,0.951,7777.254,7169.435
2025-03-09T04:00:00,161.559,0.903,7580.587,3157.481
2025-03-09T04:05:00,175.574,0.992,4197.263,6127.096
2025-03-09T04:10:00,179.9,0.964,7304.536,6383.478
2025-03-09T04:15:00,183.119,1.003,3712.106,5971.17
2025-03-09T04:20:00,182.148,0.988,2348.478,5541.259
2025-03-09T04:25:00,180.133,1.002,2271.339,5358.938
2025-03-09T04:30:00,174.554,0.968,1616.001,5371.158
2025-03-09T04:35:00,200.223,1.006,2745.239,6670.18
2025-03-09T04:40:00,164.416,0.952,1613.09,3825.897
2025-03-09T04:45:00,166.557,1.001,9460.355,4597.666
2025-03-09T04:50:00,155.453,1,983.248,3639.143
2025-03-09T04:55:00,196.79,1.004,3097.019,6819.044
2025-03-09T05:00:00,172.277,0.929,5500.995,4698.704
2025-03-09T05:05:00,142.578,0.96,6354.35,3096.844
2025-03-09T05:10:00,156.488,0.986,12176.065,4450.801
2025-03-09T05:15:00,109.571,0.956,4448.234,2588.511
2025-03-09T05:20:00,133.016,0.872,6715.717,2603.032
2025-03-09T05:25:00,164.489,0.944,4868.746,4382.842
2025-03-09T05:30:00,157.639,0.943,5093.204,3870.426
2025-03-09T05:35:00,140.813,0.95,8070.193,3511.029
2025-03-09T05:40:00,171.452,0.941,4402.391,7491.554
2025-03-09T05:45:00,181.884,1.004,3754.209,6259.971
2025-03-09T05:50:00,161.707,0.996,5481.592,5329.629
2025-03-09T05:55:00,155.36,0.979,3659.94,3934.386
2025-03-09T06:00:00,156.993,1.004,3364.448,3671.879
2025-03-09T06:05:00,156.212,0.996,5770.986,4621.14
2025-03-09T06:10:00,171.485,0.98,3068.191,5526.343
2025-03-09T06:15:00,165.831,0.997,4879.097,4762.695
2025-03-09T06:20:00,175.414,0.992,3726.768,5177.936
2025-03-09T06:25:00,175.022,0.939,4105.817,5572.838
2025-03-09T06:30:00,167.57,1.006,3288.157,5880.197
2025-03-09T06:35:00,140.201,0.965,5727.654,2763.164
2025-03-09T06:40:00,123.418,0.95,4535.981,2765.646
2025-03-09T06:45:00,151.848,0.904,7726.854,5120.306
2025-03-09T06:50:00,161.912,0.973,8086.437,3606.008
2025-03-09T06:55:00,172.689,0.816,12393.263,4982.233
2025-03-09T07:00:00,189.595,0.922,3514.942,7874.863
2025-03-09T07:05:00,209.911,0.771,5337.668,6849.96
2025-03-09T07:25:00,152.825,0.953,2604.841,3777.412
2025-03-09T07:30:00,186.206,0.954,3760.546,8127.189
2025-03-09T07:35:00,194.231,0.973,3771.295,7902.033
2025-03-09T07:40:00,171.395,0.953,4900,5527.733
2025-03-09T07:45:00,122.997,1.003,7298.087,3867.487
2025-03-09T07:50:00,162.525,0.994,3099.804,5499.215
2025-03-09T07:55:00,172.685,0.945,6196.165,5037.475
2025-03-09T08:00:00,156.361,0.97,10941.385,2514.216
2025-03-09T08:05:00,203.683,1.002,3798.099,10207.346
2025-03-09T08:10:00,189.318,0.986,4043.052,9920.373
2025-03-09T08:15:00,176.072,1.007,3493.918,8534.097
2025-03-09T08:20:00,170.299,0.958,2494.664,7246.097
2025-03-09T08:25:00,186.334,0.982,3348.805,7282.533
2025-03-09T08:30:00,187.497,0.996,2577.476,8048.238
2025-03-09T08:35:00,177.464,0.763,1986.349,6229.556
2025-03-09T22:45:00,135.499,0.975,3060.082,2655.466
2025-03-09T22:50:00,109.931,0.975,6151.181,1939.242
2025-03-09T22:55:00,162.698,0.813,4643.184,2883.183
2025-03-09T23:00:00,153.194,0.868,2614.995,3137.424
2025-03-09T23:05:00,135.986,0.883,4107.906,3254.542
2025-03-09T23:10:00,122.463,0.913,5330.657,2761.298
2025-03-09T23:15:00,124.724,1.003,1924.528,2681.285
2025-03-09T23:20:00,126.398,0.989,1626.101,2538.316
2025-03-09T23:25:00,123.23,0.994,1729.02,2689.648
2025-03-09T23:30:00,125.187,1.004,1791.539,2616.467
2025-03-09T23:35:00,135.884,0.858,3100.086,1749.519
2025-03-09T23:40:00,122.694,0.931,4935.675,3463.022
2025-03-09T23:45:00,102.794,0.997,3444.96,1780.02
2025-03-09T23:50:00,108.094,1.004,3339.036,2622.69
2025-03-09T23:55:00,158.253,0.989,4949.25,4418.888
2025-03-10T00:00:00,89.409,0.952,4896.663,1061.456
2025-03-10T00:05:00,175.978,0.958,3900.395,5577.084
2025-03-10T00:10:00,180.955,1.002,3713.285,6231.685
2025-03-10T00:15:00,169.509,1.006,1366.78,4391.335
2025-03-10T00:20:00,169.064,1.003,2138.627,4601.384
2025-03-10T00:25:00,174.642,1.005,1490.01,4934.635
2025-03-10T00:30:00,168.618,1.001,1331.493,4493.127
2025-03-10T00:35:00,176.132,0.996,1749.066,5142.737
2025-03-10T00:40:00,172.969,0.919,2460.438,4362.287
2025-03-10T00:45:00,173.935,1.004,2945.945,6348.313
2025-03-10T00:50:00,157.036,0.936,5260.522,5260.977
2025-03-10T00:55:00,140.989,0.995,4762.407,2588.106
2025-03-10T01:00:00,182.26,0.969,5199.894,6929.827
2025-03-10T01:05:00,143.05,0.798,6832.297,1430.364
2025-03-10T01:10:00,126.907,0.928,8879.614,2180.95
2025-03-10T01:15:00,157.224,0.926,17177.796,4277.843
2025-03-10T01:20:00,167.742,0.856,6150.255,5165.147
2025-03-10T01:25:00,175.103,0.986,4026.989,4951.318
2025-03-10T01:30:00,160.413,0.939,8527.744,5295.204
2025-03-10T01:35:00,145.423,0.955,4367.366,2930
2025-03-10T01:40:00,142.468,1.003,2195.455,3533.035
2025-03-10T01:45:00,140.125,0.948,2970.225,3089.802
2025-03-10T01:50:00,161.897,0.894,9071.791,4777.282
2025-03-10T01:55:00,156.415,0.982,9523.915,5174.932
2025-03-10T02:00:00,173.62,0.898,10725.887,5034.648
2025-03-10T02:05:00,140.45,0.965,7350.549,4125.11
2025-03-10T02:10:00,131.19,0.928,7702.838,2919.555
2025-03-10T02:15:00,176.074,0.961,5708.026,5330.303
2025-03-10T02:20:00,137.502,0.872,11115.541,2453.041
2025-03-10T02:25:00,166.533,0.974,14665.456,4304.38
2025-03-10T02:30:00,175.414,0.891,7510.109,6354.419
2025-03-10T02:45:00,141.866,0.978,7559.567,3416.121
2025-03-10T02:50:00,180.06,0.885,7354.97,6454.874
2025-03-10T02:55:00,161.548,0.921,10810.148,3225.324
2025-03-10T03:00:00,182.682,0.976,5999.196,6415.17
2025-03-10T03:05:00,186.808,0.933,3511.567,5104.189
2025-03-10T03:10:00,186.745,0.938,9369.987,6429.419
2025-03-10T03:15:00,184.095,1.002,2855.744,6538.991
2025-03-10T03:20:00,187.874,0.987,4212.749,5910.925
2025-03-10T03:25:00,189.341,1.004,3734.016,6382.495
2025-03-10T03:30:00,179.178,1.003,3266.88,5917.751
2025-03-10T03:35:00,176.843,0.996,4307.576,5417.575
2025-03-10T03:40:00,185.044,0.996,5308.172,7283.726
2025-03-10T03:45:00,170.776,0.775,7291.223,4612.773
2025-03-10T03:55:00,156.085,0.824,8355.479,3214.88
2025-03-10T04:05:00,213.636,0.79,12887.302,8601.803
2025-03-10T04:10:00,159.588,0.884,8508.754,2838.024
2025-03-10T04:15:00,199.483,0.893,7195.146,7660.355
2025-03-10T04:20:00,164.06,0.958,10731.051,3776.818
2025-03-10T04:25:00,176.458,0.979,6906.275,4807.045
2025-03-10T04:35:00,151.803,0.734,4381.505,3622.829
2025-03-10T04:40:00,175.518,0.978,2952.388,6194.226
2025-03-10T04:45:00,178.582,0.943,5238.5,6917.266
2025-03-10T04:50:00,183.587,0.967,7924.083,5697.036
2025-03-10T04:55:00,187.099,0.952,4258.012,6529.621
2025-03-10T05:00:00,157.288,0.987,4775.951,4499.58
2025-03-10T05:05:00,166.812,0.996,6530.584,4459.193
2025-03-10T05:10:00,155.775,0.796,5234.313,3904.174
2025-03-11T22:25:00,130.857,0.995,6473.826,3055.329
2025-03-11T22:30:00,135.383,0.933,4647.551,3128.795
2025-03-11T22:35:00,140.787,1.003,2713.172,3438.792
2025-03-11T22:40:00,137.037,1.005,2820.495,3535.361
2025-03-11T22:45:00,130.977,1.002,2641.803,3298.676
2025-03-11T22:50:00,130.117,1.004,3671.573,2803.785
2025-03-11T22:55:00,124.322,1.005,2948.785,3140.714
2025-03-11T23:00:00,106.75,1.003,2195.529,2105.838
2025-03-11T23:05:00,109.248,1.005,3132.969,2489.004
2025-03-11T23:10:00,102.565,0.795,2507.056,1892.214
2025-03-11T23:15:00,97.25,1.006,3953.337,2063.441
2025-03-11T23:20:00,115.714,0.99,4325.527,2174.668
2025-03-11T23:25:00,132.645,0.916,2007.989,2382.603
2025-03-11T23:30:00,156.331,0.996,1851.525,4153.581
2025-03-11T23:35:00,146.079,0.993,4125.861,3588.217
2025-03-11T23:40:00,160.578,1.005,2470.083,3640.912
2025-03-11T23:45:00,164.142,0.92,1956.333,4331.928
2025-03-11T23:50:00,133.172,0.996,2930.473,3130.838
2025-03-11T23:55:00,137.924,0.983,1873.326,3387.07
2025-03-12T00:00:00,128.277,0.972,1806.45,2779.214
2025-03-12T00:05:00,138.931,0.883,1535.189,2979.043
2025-03-12T00:10:00,156.551,1.005,4822.417,5346.366
2025-03-12T00:15:00,64.662,0.975,4781.547,1005.85
2025-03-12T00:20:00,188.782,0.971,5720.811,7121.538
2025-03-12T00:25:00,174.925,0.951,10148.097,6393.312
2025-03-12T00:30:00,146.251,0.932,3862.233,2492.862
2025-03-12T00:35:00,172.211,0.972,3703.926,5088.305
2025-03-12T00:40:00,110.012,0.981,4490.371,1265.645
